game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Far Cry 5: Hours of Darkness,PC,Action,2018-06-05,72,4.0,22
Borderlands 2 VR,PS4,Action,2018-12-14,72,4.0,16
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,XONE,Adventure,2018-08-14,72,3.0,20
de Blob,Switch,Action,2018-06-26,72,4.0,22
World of Final Fantasy Maxima,PS4,Role-Playing,2018-11-06,71,5.0,17
Call of Duty: WWII - The Resistance,PS4,Action,2018-01-30,71,4.0,27
Zone of the Enders: The 2nd Runner MARS,PS4,Simulation,2018-09-04,71,14.0,19
Xeodrifter,Switch,Action,2018-02-15,71,4.0,26
The Bard's Tale IV: Barrows Deep,PC,Role-Playing,2018-09-18,71,5.0,19
Leisure Suit Larry: Wet Dreams Don't Dry,PC,Adventure,2018-11-07,71,3.0,17
Attack of the Earthlings,PC,Strategy,2018-02-08,71,10.0,26
Gray Dawn,PC,Adventure,2018-06-07,71,3.0,22
"Warhammer 40,000: Gladius - Relics of War",PC,Strategy,2018-07-12,71,10.0,21
Pool Panic,Switch,Action Adventure,2018-07-19,71,3.0,21
Happy Birthdays,Switch,Action Adventure,2018-06-05,71,3.0,22
Bridge Constructor Portal,Switch,Simulation,2018-02-28,71,14.0,26
Hexologic,Switch,Puzzle,2018-06-12,71,7.0,22
Bad North,Switch,Action,2018-08-20,71,4.0,20
Assassin's Creed Rogue Remastered,PS4,Action Adventure,2018-03-20,71,3.0,25
Tesla vs Lovecraft,PS4,Action,2018-03-13,71,4.0,25
Cold Iron,PS4,Action Adventure,2018-01-30,71,3.0,27
Cultist Simulator,PC,Strategy,2018-05-31,71,10.0,23
Not Tonight,PC,Strategy,2018-08-17,71,10.0,20
Space Hulk: Tactics,XONE,Strategy,2018-10-09,71,10.0,18
Membrane,Switch,Puzzle,2018-02-22,71,7.0,26
A Robot Named Fight!,Switch,Action,2018-04-26,71,4.0,24
Megadimension Neptunia VIIR,PS4,Role-Playing,2018-05-08,71,5.0,23
Death's Gambit,PS4,Role-Playing,2018-08-14,71,5.0,20
Masters of Anima,PC,Strategy,2018-04-10,71,10.0,24
Squishies,PS4,Action,2018-11-20,71,4.0,17
Detective Pikachu,3DS,Adventure,2018-03-23,71,3.0,25
FIFA 19,Switch,Sports,2018-09-25,71,15.0,19
39 Days to Mars,PC,Puzzle,2018-04-25,71,7.0,24
H1Z1,PC,Action,2018-02-28,70,4.0,26
oOo: Ascension,XONE,Action,2018-05-25,70,4.0,23
Starlink: Battle for Atlas,PS4,Simulation,2018-10-16,70,14.0,18
Marvel's Spider-Man: Turf Wars,PS4,Action Adventure,2018-11-20,70,3.0,17
Bendy and the Ink Machine,XONE,Adventure,2018-11-20,70,3.0,17
Nobunaga's Ambition: Taishi,PS4,Strategy,2018-06-05,70,10.0,22
Regalia: Of Men and Monarchs - Royal Edition,PS4,Strategy,2018-04-10,70,10.0,24
Rick and Morty: Virtual Rick-ality,PS4,Simulation,2018-04-10,70,14.0,24
Deep Sky Derelicts,PC,Role-Playing,2018-09-26,70,5.0,19
The Fall,Switch,Action Adventure,2018-05-10,70,3.0,23
Stikbold! Dodgeball Adventure! Deluxe,Switch,Action,2018-01-04,70,4.0,27
60 Parsecs!,PC,Adventure,2018-09-18,70,3.0,19
Dandara,PC,Action,2018-02-06,70,4.0,26
Below,XONE,Action,2018-12-14,70,4.0,16
Fe,XONE,Action,2018-02-16,70,4.0,26
The Last Remnant Remastered,PS4,Role-Playing,2018-12-06,70,5.0,16
Vampyr,XONE,Role-Playing,2018-06-05,70,5.0,22
Iris.Fall,PC,Adventure,2018-12-07,70,3.0,16
The Fall Part 2: Unbound,Switch,Action Adventure,2018-02-13,70,3.0,26
Light Fall,PC,Action,2018-04-26,69,4.0,24
Age of Empires: Definitive Edition,PC,Strategy,2018-02-20,69,10.0,26
Mercenary Kings: Reloaded Edition,Switch,Action,2018-02-06,69,4.0,26
Graveyard Keeper,PC,Action Adventure,2018-08-15,69,3.0,20
Earth Atlantis,XONE,Action,2018-06-01,69,4.0,22
Disco Dodgeball Remix,Switch,Sports,2018-05-22,69,15.0,23
ChromaGun,Switch,Action,2018-01-22,69,4.0,27
Megaquarium,PC,Strategy,2018-09-13,69,10.0,19
The Walking Dead: The Telltale Series - The Final Season Episode 2: Suffer the Children,PC,Adventure,2018-09-25,69,3.0,19
Dillon's Dead-Heat Breakers,3DS,Action,2018-05-24,69,4.0,23
Final Fantasy XV Pocket Edition HD,Switch,Role-Playing,2018-09-13,69,5.0,19
Manticore: Galaxy on Fire,Switch,Simulation,2018-04-19,69,14.0,24
Empires Apart,PC,Strategy,2018-03-29,68,10.0,25
Lost Sphear,PS4,Role-Playing,2018-01-23,68,5.0,27
Danger Zone 2,PS4,Racing,2018-07-13,68,1.0,21
MARVEL Powers United VR,PC,Action,2018-07-26,68,4.0,21
The Spectrum Retreat,PC,Adventure,2018-07-13,68,3.0,21
Mercenaries Saga Chronicles,Switch,Strategy,2018-02-08,68,10.0,26
Deracine,PS4,Adventure,2018-11-06,68,3.0,17
Heroki,Switch,Action,2018-07-20,68,4.0,21
Remothered: Tormented Fathers,XONE,Action Adventure,2018-07-25,68,3.0,21
de Blob 2,PS4,Action,2018-02-27,68,4.0,26
Strange Brigade,PC,Action,2018-08-28,68,4.0,20
Killing Floor: Incursion,PS4,Action,2018-05-01,68,4.0,23
Way of the Passive Fist,XONE,Action,2018-03-07,68,4.0,25
Home Sweet Home,PS4,Action Adventure,2018-10-16,68,3.0,18
Typoman: Revised,Switch,Action,2018-02-22,68,4.0,26
The Council - Episode 3: Ripples,PS4,Adventure,2018-07-24,68,3.0,21
The 25th Ward: The Silver Case,PS4,Adventure,2018-03-13,68,3.0,25
TSIOQUE,PC,Adventure,2018-11-07,68,3.0,17
TT Isle of Man,PC,Racing,2018-03-27,68,1.0,25
1979 Revolution: Black Friday,PS4,Adventure,2018-07-31,68,3.0,21
Saturday Morning RPG,Switch,Role-Playing,2018-04-26,68,5.0,24
Seeking Dawn,PC,Action Adventure,2018-07-12,68,3.0,21
Strikers Edge,PS4,Action,2018-01-30,68,4.0,27
My Hero One's Justice,PS4,Action,2018-10-26,68,4.0,18
Smoke and Sacrifice,PC,Action Adventure,2018-05-31,68,3.0,23
Jurassic World Evolution,PS4,Strategy,2018-06-12,68,10.0,22
Pure Farming 2018,PS4,Simulation,2018-03-13,68,14.0,25
The Escapists: Complete Edition,Switch,Action,2018-09-25,67,4.0,19
Yo-kai Watch Blasters: Red Cat Corps,3DS,Action,2018-09-07,67,4.0,19
Mutant Football League: Dynasty Edition,Switch,Sports,2018-10-30,67,15.0,18
Another Sight,PC,Adventure,2018-09-06,67,3.0,19
Steel Rats,PS4,Simulation,2018-11-07,67,14.0,17
Cities: Skylines - Nintendo Switch Edition,Switch,Strategy,2018-09-13,67,10.0,19
The Thin Silence,PC,Adventure,2018-04-27,67,3.0,24
