game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Etrian Odyssey Nexus,3DS,General,2019-02-05,80,40.0,14
New Super Mario Bros. U Deluxe,Switch,Action,2019-01-11,80,4.0,15
Captain Toad: Treasure Tracker - Special Episode,Switch,Action,2019-03-14,80,4.0,13
Wargroove,XONE,General,2019-02-01,80,40.0,14
Yoshi's Crafted World,Switch,Action,2019-03-29,80,4.0,13
"Bury Me, My Love",PC,Adventure,2019-01-10,80,3.0,15
Kirby's Extra Epic Yarn,3DS,Action,2019-03-08,80,4.0,13
Tales of Vesperia: Definitive Edition,PS4,Role-Playing,2019-01-11,80,5.0,15
Yo-kai Watch 3,3DS,Role-Playing,2019-02-08,80,5.0,14
Kingdom Hearts III,XONE,Action RPG,2019-01-29,80,5.0,15
Catherine Classic,PC,Action Adventure,2019-01-10,80,3.0,15
Yakuza Kiwami,PC,Action Adventure,2019-02-19,80,3.0,14
Metro Exodus,PS4,Action,2019-02-15,80,4.0,14
Tangledeep,Switch,Role-Playing,2019-01-31,79,5.0,15
Octahedron: Transfixed Edition,Switch,Action,2019-01-17,79,4.0,15
Angry Birds VR: Isle of Pigs,PC,Puzzle,2019-02-07,78,7.0,14
Tropico 6,PC,Strategy,2019-03-29,78,10.0,13
